TITLE="Graphics"
VARIABLES= "x", "T_CH", "Y_h_CH","Y_h2_CH","Y_o_CH","Y_o2_CH","Y_oh_CH","Y_h2o_CH","Y_n2_CH","Y_ho2_CH","Y_h2o2_CH","Y_co_CH","Y_co2_CH","Y_ch2o_CH","Y_hco_CH","Y_ch3oh_CH","Y_ch2oh_CH","Y_ch3o_CH","Y_ch3o2_CH","Y_ch4_CH","Y_ch3_CH","Y_ch2_CH","Y_ch2(s)_CH","Y_c2h6_CH","Y_c2h5o2_CH","Y_c2h5_CH","Y_c2h4_CH","Y_c2h3_CH","Y_c2h2_CH","Y_ch2cho_CH","Y_ch2co_CH","Y_hcco_CH","Y_nc3h7_CH","Y_c3h6_CH","Y_c3h5-a_CH","Y_c3h5o_CH","Y_c3h4-a_CH","Y_nc3h7o2_CH","Y_c2h3cho_CH","Y_nc7h16_CH","Y_c7h15_CH","Y_c7h15o2_CH","Y_c7h14ooh_CH","Y_c7h14_CH","Y_c7h14ooho2_CH","Y_nc7ket_CH","Y_c7h14o_CH","Y_nc3h7cho_CH"
-2.0,300.0,4.843209E-29,2.024378E-8,2.307267E-24,0.206066,4.709337E-25,4.823737E-13,0.7752007,4.889656E-16,5.58874E-16,5.744076E-14,3.762396E-16,5.448488E-17,1.032795E-33,4.656038E-18,4.095203E-40,4.078986E-31,1.896557E-18,9.340266E-15,6.059024E-32,8.898353E-39,-2.406333E-40,1.035645E-17,7.362741E-22,9.475609E-35,4.305166E-15,9.657186E-35,2.81382E-16,1.749176E-19,3.959693E-19,1.255226E-37,1.40745E-41,1.019346E-17,1.667432E-21,4.110163E-25,9.0144E-20,6.276078E-25,1.432965E-21,0.01873327,2.691932E-28,3.873111E-21,2.148486E-30,6.189591E-24,1.357202E-24,6.021627E-27,1.640403E-25,6.613389E-23
-1.0,300.0,1.650192E-27,1.050039E-6,2.924703E-22,0.2060658,6.089813E-23,8.892234E-11,0.7751999,9.772383E-14,1.124964E-13,1.146525E-11,9.963638E-14,1.457405E-14,2.73868E-31,1.268814E-15,1.102018E-37,1.097654E-28,5.627666E-16,1.714874E-12,1.107848E-29,1.589352E-36,-4.297998E-38,2.930665E-15,2.792269E-19,2.658317E-32,9.5068E-13,2.290479E-32,6.606455E-14,5.46508E-17,1.230992E-16,2.084278E-35,5.02344E-39,3.083086E-15,5.146223E-19,1.651168E-22,2.83138E-17,2.851252E-22,6.04184E-19,0.01873326,1.638611E-25,2.577948E-18,1.430035E-27,3.699975E-21,1.112281E-21,4.237382E-24,1.048288E-22,2.985433E-20
-0.1,300.0001,7.03463E-23,4.676516E-5,1.277749E-18,0.2060567,1.906894E-20,1.403178E-8,0.7751639,1.671692E-11,1.938176E-11,1.958759E-9,2.257792E-11,3.335425E-12,1.011897E-27,2.958568E-13,8.842895E-33,5.503942E-24,1.428772E-13,2.695146E-10,6.102138E-25,1.370956E-30,-5.084588E-38,7.095943E-13,9.058893E-17,1.78209E-27,1.796659E-10,7.838678E-29,1.327398E-11,1.498901E-14,3.274207E-14,1.690129E-29,3.928298E-34,7.978399E-13,1.358904E-16,5.646866E-19,7.608751E-15,1.107996E-19,2.173754E-16,0.01873258,5.623134E-23,6.320159E-16,3.50607E-25,1.891615E-18,1.921046E-19,2.50748E-21,5.729229E-20,1.152778E-17
0.0,300.0008,1.495083E-20,1.810284E-4,3.28648E-16,0.2060299,9.390647E-19,1.57585E-7,0.7750583,2.021593E-10,2.35909E-10,2.365817E-8,3.544934E-10,5.285783E-11,4.490225E-25,4.771554E-12,7.709851E-30,1.371907E-20,2.496654E-12,3.015691E-9,1.648017E-22,4.98516E-27,-9.540301E-36,1.185698E-11,1.999296E-15,6.792832E-25,2.381823E-9,1.595694E-26,1.862679E-10,2.811054E-13,5.978448E-13,6.094758E-26,2.278946E-30,1.419466E-11,2.464296E-15,1.14741E-16,1.402885E-13,2.907568E-18,5.199629E-15,0.0187306,3.928008E-21,7.17224E-15,3.979502E-24,6.468016E-17,4.760016E-19,1.00055E-19,2.090307E-18,3.004732E-16
0.05,300.0064,1.476306E-18,5.042175E-4,8.175515E-15,0.2059652,2.521446E-17,1.216091E-6,0.7748034,1.677515E-9,1.969993E-9,1.960729E-7,3.803163E-9,5.723473E-10,6.48147E-23,5.256473E-11,2.51143E-27,4.332219E-18,2.976981E-11,2.318871E-8,2.072816E-20,1.201814E-24,5.444095E-35,1.352683E-10,3.004127E-14,1.190943E-22,2.163101E-8,4.869409E-25,1.788963E-9,3.529609E-12,7.44493E-12,1.451991E-23,1.069427E-27,1.722884E-10,3.048064E-14,3.433614E-15,1.763896E-12,5.187056E-17,8.462292E-14,0.01872581,1.025447E-19,8.553816E-14,4.750259E-23,1.500475E-15,2.163217E-18,2.717684E-18,5.172289E-17,5.323347E-15
0.062,300.016,1.216848E-17,7.040669E-4,3.256874E-14,0.2059247,1.306734E-16,2.913738E-6,0.7746448,4.214829E-9,4.969306E-9,4.921637E-7,1.139842E-8,1.726736E-9,6.662582E-22,1.605561E-10,4.275011E-26,1.486144E-16,9.632654E-11,5.543182E-8,2.020853E-19,1.340584E-23,5.020934E-36,4.237361E-10,1.159697E-13,1.403097E-21,5.772612E-8,2.756222E-24,4.960708E-9,1.184508E-11,2.487025E-11,1.609541E-22,5.096888E-26,5.647225E-10,1.013166E-13,1.87074E-14,5.934691E-12,2.293383E-16,3.473461E-13,0.01872286,4.882015E-19,2.64374E-13,1.469942E-22,8.217587E-15,4.359662E-18,1.702515E-17,2.991494E-16,2.335585E-14
0.074,300.0481,1.525905E-16,0.001025851,1.172093E-13,0.2058584,1.04312E-15,8.345093E-6,0.7743874,1.280695E-8,1.517391E-8,1.493669E-6,4.30294E-8,6.571111E-9,7.81668E-21,6.202494E-10,1.440902E-24,2.575212E-15,3.990324E-10,1.583055E-7,3.118625E-18,1.67718E-22,1.1731E-33,1.687919E-9,5.928782E-13,2.41524E-20,1.890012E-7,2.100578E-23,1.70273E-8,5.123749E-11,1.07064E-10,1.986617E-21,1.270407E-24,2.37617E-9,4.335551E-13,1.170462E-13,2.576891E-11,1.374379E-15,1.92534E-12,0.01871809,3.268323E-18,1.449936E-12,8.09224E-22,6.30071E-14,1.796726E-17,1.518915E-16,2.439734E-15,1.388021E-13
0.08,300.0925,7.127907E-16,0.001260348,2.393382E-13,0.2058085,4.242195E-15,1.553973E-5,0.7741972,2.479571E-8,2.946609E-8,2.889104E-6,9.637859E-8,1.479943E-8,3.288265E-20,1.411461E-9,1.419834E-23,1.851876E-14,9.53288E-10,2.942422E-7,1.676368E-17,7.273842E-22,9.607131E-33,3.923384E-9,1.64932E-12,1.393053E-19,3.844374E-7,9.25315E-23,3.57493E-8,1.261341E-10,2.627165E-10,8.541719E-21,1.258275E-23,5.737975E-9,1.059495E-12,3.660054E-13,6.361672E-11,4.299905E-15,5.675666E-12,0.01871462,1.225047E-17,4.53606E-12,2.544399E-21,2.374404E-13,5.392492E-17,6.454799E-16,9.651832E-15,4.303829E-13
0.086,300.1891,3.825371E-15,0.001566319,4.975679E-13,0.2057407,2.10967E-14,3.064187E-5,0.7739444,5.109612E-8,6.091177E-8,5.946136E-6,2.341054E-7,3.617195E-8,1.53796E-19,3.490481E-9,1.873704E-22,1.167083E-13,2.490983E-9,5.790079E-7,1.067153E-16,3.464097E-21,1.102363E-31,9.937941E-9,5.125115E-12,9.584616E-19,8.374367E-7,6.450558E-22,8.071205E-8,3.40897E-10,7.075153E-10,4.015782E-20,1.122767E-22,1.517523E-8,2.840269E-12,1.259771E-12,1.725034E-10,1.524992E-14,1.883244E-11,0.01871009,5.793007E-17,1.729523E-11,9.806395E-21,1.035808E-12,2.224589E-16,3.217787E-15,4.444411E-14,1.509209E-12
0.089,300.2799,9.877669E-15,0.001754254,7.34967E-13,0.2056966,5.3352E-14,4.441492E-5,0.7737856,7.603043E-8,9.077654E-8,8.839324E-6,3.846323E-7,5.965627E-8,3.623976E-19,5.798567E-9,8.233477E-22,3.585103E-13,4.283515E-9,8.382714E-7,3.056762E-16,8.129181E-21,4.712688E-31,1.675711E-8,9.875108E-12,2.909901E-18,1.287745E-6,2.220114E-21,1.268189E-7,5.986319E-10,1.239681E-9,9.361552E-20,4.499401E-22,2.628778E-8,4.963084E-12,2.571273E-12,3.035678E-10,3.208555E-14,3.778383E-11,0.01870731,1.443441E-16,3.809318E-11,2.181663E-20,2.505688E-12,5.535053E-16,8.565736E-15,1.11726E-13,3.140653E-12
