TITLE="Graphics"
VARIABLES= "x", "T2", "Y_H2_2", 
"Y_H_2", "Y_O2_2", "Y_O_2", "Y_OH_2", "Y_HO2_2", "Y_H2O_2", "Y_H2O2_2", "Y_N2_2"
0  300 0.0285105 0 0.226279 0 0 0 0 0 0.74521
0.05  300 0.0233611 1.18095e-08 0.19823 -1.6226e-21 3.20354e-23 0.00150571 1.14277e-20 0.00894354 0.644873
0.098  300 0.0387471 1.82143e-38 0.221497 0.0291699 0 5.9644e-37 8.18582e-22 0.000926404 0.998122
0.1  300 0.0387647 1.66782e-06 0.230477 0.0230802 3.36925e-06 4.97562e-06 -4.12136e-07 0.000762666 0.997412
0.1167  648.262 0.0388856 0.000117798 0.250536 0.00235996 0.000521066 0.000276593 0.00442774 0.00022247 0.987733
0.1333  994.438 0.0292676 0.00119721 0.249896 0.00163085 0.00127488 0.000185509 0.0261758 1.09081e-05 0.966179
0.15  1342.7 0.0104783 0.00338704 0.0880629 0.00701452 0.00597578 6.24247e-05 0.193783 5.25659e-06 0.954169
0.1667  1690.96 0.00652647 0.00306308 0.042872 0.00890882 0.0130634 1.8672e-05 0.23583 7.37762e-06 0.946397
0.1833  2037.14 0.00638136 0.00241056 0.0342555 0.00927117 0.0201535 9.16675e-06 0.237898 5.07927e-06 0.933329
0.2  2385.4 0.00653741 0.0019887 0.03161 0.00934398 0.0268798 6.38801e-06 0.235069 2.35579e-06 0.927251
0.25  2385.4 0.0055143 0.00145878 0.0294052 0.0072511 0.0239854 6.13206e-06 0.239419 2.09348e-06 0.927251
0.3  2385.4 0.0055143 0.00145878 0.0294052 0.0072511 0.0239854 6.13206e-06 0.239419 2.09348e-06 0.745214
